        Frequency / GHz                S1,1/abs,dB
               3.5730801                      -9.7352829
               3.5732901                      -9.7108737
               3.5734999                      -9.6865626
                 3.57371                      -9.6623479
                 3.57392                      -9.6382331
               3.5741301                      -9.6142146
               3.5743401                      -9.5902905
               3.5745499                      -9.5664623
                 3.57476                      -9.5427301
                 3.57497                      -9.5190923
               3.5751801                      -9.4955473
               3.5753901                      -9.4720955
               3.5755999                      -9.4487368
                 3.57581                      -9.4254703
                 3.57602                       -9.402295
                 3.57623                      -9.3792121
               3.5764401                      -9.3562176
               3.5766499                      -9.3333142
                 3.57686                      -9.3104995
                 3.57707                      -9.2877742
                 3.57728                      -9.2651371
               3.5774901                      -9.2425897
               3.5776999                      -9.2201266
               3.5779099                      -9.1977522
                 3.57812                      -9.1754642
                 3.57833                      -9.1532606
               3.5785401                      -9.1311448
               3.5787499                       -9.109111
               3.5789599                      -9.0871636
                 3.57917                      -9.0652994
                 3.57938                      -9.0435187
               3.5795901                      -9.0218214
               3.5797999                      -9.0002061
               3.5800099                      -8.9786749
                 3.58022                      -8.9572221
                 3.58043                      -8.9358523
               3.5806401                      -8.9145628
               3.5808499                      -8.8933526
               3.5810599                      -8.8722233
                 3.58127                      -8.8511728
                 3.58148                      -8.8302006
               3.5816901                      -8.8093082
               3.5818999                      -8.7884941
               3.5821099                      -8.7677554
                 3.58232                      -8.7470963
                 3.58253                      -8.7265124
               3.5827401                      -8.7060051
               3.5829501                      -8.6855746
               3.5831599                      -8.6652182
                 3.58337                      -8.6449384
                 3.58358                      -8.6247335
               3.5837901                      -8.6046008
               3.5840001                      -8.5845431
               3.5842099                      -8.5645593
                 3.58442                      -8.5446491
                 3.58463                      -8.5248107
               3.5848401                       -8.505044
               3.5850501                      -8.4853507
               3.5852599                      -8.4657282
                 3.58547                      -8.4461784
                 3.58568                      -8.4266984
               3.5858901                       -8.407289
               3.5861001                      -8.3879495
               3.5863099                      -8.3686803
                 3.58652                        -8.34948
                 3.58673                      -8.3303491
               3.5869401                      -8.3112859
               3.5871501                      -8.2922927
               3.5873599                      -8.2733668
                 3.58757                      -8.2545079
                 3.58778                      -8.2357169
                 3.58799                      -8.2169924
               3.5882001                      -8.1983358
               3.5884099                       -8.179745
               3.5886199                      -8.1612203
                 3.58883                      -8.1427618
                 3.58904                       -8.124367
               3.5892501                       -8.106038
               3.5894599                      -8.0877732
               3.5896699                      -8.0695735
                 3.58988                      -8.0514367
                 3.59009                      -8.0333648
               3.5903001                       -8.015356
               3.5905099                      -7.9974105
               3.5907199                      -7.9795271
                 3.59093                      -7.9617063
                 3.59114                       -7.943948
               3.5913501                      -7.9262518
               3.5915599                      -7.9086174
               3.5917699                      -7.8910429
                 3.59198                      -7.8735306
                 3.59219                      -7.8560778
               3.5924001                      -7.8386873
               3.5926099                      -7.8213561
               3.5928199                      -7.8040837
                 3.59303                       -7.786872
                 3.59324                      -7.7697185
               3.5934501                      -7.7526251
               3.5936601                      -7.7355907
               3.5938699                      -7.7186146
                 3.59408                      -7.7016966
                 3.59429                      -7.6848351
               3.5945001                      -7.6680326
               3.5947101                      -7.6512872
               3.5949199                      -7.6345991
                 3.59513                      -7.6179679
                 3.59534                      -7.6013934
               3.5955501                      -7.5848744
               3.5957601                      -7.5684118
               3.5959699                       -7.552006
                 3.59618                      -7.5356538
                 3.59639                      -7.5193585
               3.5966001                       -7.503118
               3.5968101                      -7.4869318
               3.5970199                      -7.4708003
                 3.59723                      -7.4547231
                 3.59744                      -7.4387013
               3.5976501                      -7.4227318
