        Frequency / GHz                Power Accepted/real
                 3.53801                        0.483089
                 3.53822                      0.48289382
                 3.53843                      0.48269767
                 3.53864                      0.48250054
                 3.53885                      0.48230243
                 3.53906                      0.48210334
                 3.53927                      0.48190329
                 3.53948                      0.48170227
                 3.53969                      0.48150029
                  3.5399                      0.48129736
                 3.54011                      0.48109346
                 3.54032                      0.48088861
                 3.54053                      0.48068282
                 3.54074                      0.48047608
                 3.54095                      0.48026839
                 3.54116                      0.48005977
                 3.54137                      0.47985021
                 3.54158                      0.47963973
                 3.54179                      0.47942831
                   3.542                      0.47921597
                 3.54221                       0.4790027
                 3.54242                      0.47878852
                 3.54263                      0.47857343
                 3.54284                      0.47835742
                 3.54305                      0.47814051
                 3.54326                      0.47792269
                 3.54347                      0.47770398
                 3.54368                      0.47748436
                 3.54389                      0.47726386
                  3.5441                      0.47704246
                 3.54431                      0.47682018
                 3.54452                      0.47659702
                 3.54473                      0.47637297
                 3.54494                      0.47614806
                 3.54515                      0.47592227
                 3.54536                      0.47569561
                 3.54557                      0.47546809
                 3.54578                       0.4752397
                 3.54599                      0.47501046
                  3.5462                      0.47478037
                 3.54641                      0.47454942
                 3.54662                      0.47431763
                 3.54683                        0.474085
                 3.54704                      0.47385153
                 3.54725                      0.47361722
                 3.54746                      0.47338208
                 3.54767                      0.47314611
                 3.54788                      0.47290932
                 3.54809                      0.47267171
                  3.5483                      0.47243328
                 3.54851                      0.47219404
                 3.54872                      0.47195398
                 3.54893                      0.47171312
                 3.54914                      0.47147146
                 3.54935                        0.471229
                 3.54956                      0.47098574
                 3.54977                       0.4707417
                 3.54998                      0.47049686
                 3.55019                      0.47025124
                  3.5504                      0.47000484
                 3.55061                      0.46975767
                 3.55082                      0.46950972
                 3.55103                        0.469261
                 3.55124                      0.46901152
                 3.55145                      0.46876127
                 3.55166                      0.46851027
                 3.55187                      0.46825851
                 3.55208                        0.468006
                 3.55229                      0.46775274
                  3.5525                      0.46749875
                 3.55271                      0.46724401
                 3.55292                      0.46698853
                 3.55313                      0.46673233
                 3.55334                      0.46647539
                 3.55355                      0.46621773
                 3.55376                      0.46595936
                 3.55397                      0.46570026
                 3.55418                      0.46544045
                 3.55439                      0.46517993
                  3.5546                       0.4649187
                 3.55481                      0.46465678
                 3.55502                      0.46439415
                 3.55523                      0.46413083
                 3.55544                      0.46386682
                 3.55565                      0.46360212
                 3.55586                      0.46333673
                 3.55607                      0.46307067
                 3.55628                      0.46280393
                 3.55649                      0.46253652
                  3.5567                      0.46226844
                 3.55691                       0.4619997
                 3.55712                      0.46173029
                 3.55733                      0.46146023
                 3.55754                      0.46118952
                 3.55775                      0.46091815
                 3.55796                      0.46064614
                 3.55817                      0.46037348
                 3.55838                      0.46010019
                 3.55859                      0.45982626
                  3.5588                       0.4595517
                 3.55901                      0.45927651
                 3.55922                       0.4590007
                 3.55943                      0.45872427
                 3.55964                      0.45844722
                 3.55985                      0.45816956
                 3.56006                      0.45789129
                 3.56027                      0.45761241
                 3.56048                      0.45733293
                 3.56069                      0.45705286
                  3.5609                      0.45677219
                 3.56111                      0.45649093
                 3.56132                      0.45620908
                 3.56153                      0.45592665
                 3.56174                      0.45564364
                 3.56195                      0.45536005
                 3.56216                      0.45507589
                 3.56237                      0.45479117
                 3.56258                      0.45450587
                 3.56279                      0.45422002
                   3.563                      0.45393361
                 3.56321                      0.45364664
                 3.56342                      0.45335913
                 3.56363                      0.45307107
                 3.56384                      0.45278246
                 3.56405                      0.45249332
                 3.56426                      0.45220364
                 3.56447                      0.45191342
                 3.56468                      0.45162268
                 3.56489                      0.45133142
                  3.5651                      0.45103963
                 3.56531                      0.45074733
                 3.56552                      0.45045451
                 3.56573                      0.45016118
                 3.56594                      0.44986734
                 3.56615                        0.449573
                 3.56636                      0.44927816
                 3.56657                      0.44898283
                 3.56678                        0.448687
                 3.56699                      0.44839068
                  3.5672                      0.44809388
                 3.56741                      0.44779659
                 3.56762                      0.44749883
                 3.56783                      0.44720059
                 3.56804                      0.44690188
                 3.56825                      0.44660271
                 3.56846                      0.44630306
                 3.56867                      0.44600296
                 3.56888                       0.4457024
                 3.56909                      0.44540139
                  3.5693                      0.44509993
                 3.56951                      0.44479802
                 3.56972                      0.44449566
                 3.56993                      0.44419287
                 3.57014                      0.44388964
                 3.57035                      0.44358598
                 3.57056                      0.44328189
                 3.57077                      0.44297737
                 3.57098                      0.44267243
                 3.57119                      0.44236708
                  3.5714                       0.4420613
                 3.57161                      0.44175512
                 3.57182                      0.44144852
                 3.57203                      0.44114152
                 3.57224                      0.44083412
                 3.57245                      0.44052632
                 3.57266                      0.44021812
                 3.57287                      0.43990954
                 3.57308                      0.43960056
                 3.57329                       0.4392912
                  3.5735                      0.43898146
                 3.57371                      0.43867134
                 3.57392                      0.43836084
                 3.57413                      0.43804998
                 3.57434                      0.43773874
                 3.57455                      0.43742714
                 3.57476                      0.43711518
                 3.57497                      0.43680287
                 3.57518                      0.43649019
                 3.57539                      0.43617717
                  3.5756                      0.43586379
                 3.57581                      0.43555008
                 3.57602                      0.43523602
                 3.57623                      0.43492162
                 3.57644                      0.43460688
                 3.57665                      0.43429182
                 3.57686                      0.43397642
                 3.57707                      0.43366071
                 3.57728                      0.43334466
                 3.57749                       0.4330283
                  3.5777                      0.43271163
                 3.57791                      0.43239464
                 3.57812                      0.43207734
                 3.57833                      0.43175974
                 3.57854                      0.43144183
                 3.57875                      0.43112363
                 3.57896                      0.43080512
                 3.57917                      0.43048633
                 3.57938                      0.43016724
                 3.57959                      0.42984787
                  3.5798                      0.42952821
                 3.58001                      0.42920828
                 3.58022                      0.42888806
                 3.58043                      0.42856757
                 3.58064                      0.42824682
                 3.58085                      0.42792579
                 3.58106                      0.42760449
                 3.58127                      0.42728294
                 3.58148                      0.42696113
                 3.58169                      0.42663906
                  3.5819                      0.42631673
                 3.58211                      0.42599416
                 3.58232                      0.42567135
                 3.58253                      0.42534828
                 3.58274                      0.42502498
                 3.58295                      0.42470144
                 3.58316                      0.42437767
                 3.58337                      0.42405367
                 3.58358                      0.42372944
                 3.58379                      0.42340498
                   3.584                       0.4230803
                 3.58421                       0.4227554
                 3.58442                      0.42243029
